condition,tier1_auc,tier2_auc,tier3_auc,fused_auc
clean,0.9976,0.8952249999999999,0.9767999999999999,0.995825
jpeg_q90,0.997125,0.868875,0.97595,0.9945750000000001
jpeg_q70,0.99795,0.875475,0.97515,0.9960749999999999
jpeg_q50,0.9926,0.8074749999999999,0.95455,0.991525
jpeg_q30,0.993525,0.7976,0.944175,0.991025
blur_s0.5,0.9962,0.8444750000000001,0.9713999999999999,0.9958750000000001
blur_s1.0,0.9940249999999999,0.64515,0.900725,0.9922500000000001
blur_s2.0,0.9821,0.49995,0.7624249999999998,0.9753749999999999
resize_0.5x,0.992625,0.6492000000000001,0.921075,0.9932
resize_0.25x,0.9759,0.558025,0.76195,0.972725
noise_s0.02,0.997075,0.848825,0.962125,0.9965
noise_s0.05,0.9975750000000001,0.793875,0.9512999999999999,0.99735
noise_s0.10,0.9925,0.630425,0.860825,0.991025
color_jitter_pm20pct,0.9959,0.877825,0.96845,0.9953
center_crop_80pct,0.9911000000000001,0.650675,0.94965,0.9897
crop80_resize_jpeg50,0.9832000000000001,0.6845749999999999,0.9231999999999999,0.97585
crop80_resize_jpeg30,0.982275,0.65245,0.9069,0.9752249999999999
blur2_jpeg30,0.96725,0.44984999999999997,0.7303249999999999,0.9637499999999999
FINAL_SCORE (0.5*clean + 0.5*mean_robust),0.9937683823529413,0.8045161764705882,0.9419345588235294,0.9916573529411765
